,Topik 1,Topik 2,Topik 3
asdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjgh,3.989031868753373e-05,7.1261772901066695e-06,6.732171061140459e-06
ase,0.00020586508525208462,7.327966554515576e-06,6.779482903016155e-06
asesori,6.6483900645211295e-06,7.126165693533692e-06,0.00010771456822723272
aset,0.00017284838272651153,7.1364691445913544e-06,0.00047798354343848667
asi,0.000438793739731479,7.126165677494433e-06,6.732160577859501e-06
asia,7.312253141877682e-05,7.133755341106992e-06,6.734871947508778e-06
asimetri,6.648390080427656e-06,7.238685396489906e-06,7.394746709794882e-05
asimilasi,3.989033982001645e-05,7.126165707320824e-06,6.73216060484707e-06
asisten,7.599617732906149e-06,7.126165925160637e-06,0.00024139456521404915
asli,0.0002530340864750894,0.0007473760584217714,0.000438013342517967
aslinya,0.0001506535761676289,6.647552424056001e-05,6.8093695117330355e-06
asma,7.313228982467976e-05,7.12616569823225e-06,6.7321605966764866e-06
asmail,7.298773353975049e-05,7.126165687430584e-06,6.8785383184688765e-06
asmart,6.906103943781093e-06,7.811158750428936e-05,6.732160658697678e-06
